Year,CBSA,CBSA Name,Composite,Rank,Score
2004-2014,34980,Nashville-Davidson--Murfreesboro--Franklin; TN Metropolitan Statistical Area,Growth,14,3.426566385
2004-2014,35300,New Haven-Milford; CT Metropolitan Statistical Area,Growth,91,-2.769926099
2004-2014,35380,New Orleans-Metairie; LA Metropolitan Statistical Area,Growth,97,-4.315542272
2004-2014,35620,New York-Newark-Jersey City; NY-NJ-PA Metropolitan Statistical Area,Growth,35,0.377389614
2004-2014,35840,North Port-Sarasota-Bradenton; FL Metropolitan Statistical Area,Growth,82,-2.27751354
2004-2014,36260,Ogden-Clearfield; UT Metropolitan Statistical Area,Growth,24,1.790227929
2004-2014,36420,Oklahoma City; OK Metropolitan Statistical Area,Growth,17,3.273865814
2004-2014,36540,Omaha-Council Bluffs; NE-IA Metropolitan Statistical Area,Growth,28,0.755722961
2004-2014,36740,Orlando-Kissimmee-Sanford; FL Metropolitan Statistical Area,Growth,25,1.580129103
2004-2014,37100,Oxnard-Thousand Oaks-Ventura; CA Metropolitan Statistical Area,Growth,58,-1.172652447
2004-2014,37340,Palm Bay-Melbourne-Titusville; FL Metropolitan Statistical Area,Growth,95,-3.691719329
2004-2014,37980,Philadelphia-Camden-Wilmington; PA-NJ-DE-MD Metropolitan Statistical Area,Growth,69,-1.681629836
2004-2014,38060,Phoenix-Mesa-Scottsdale; AZ Metropolitan Statistical Area,Growth,29,0.688560177
2004-2014,38300,Pittsburgh; PA Metropolitan Statistical Area,Growth,49,-0.553258815
2004-2014,38900,Portland-Vancouver-Hillsboro; OR-WA Metropolitan Statistical Area,Growth,12,3.891564431
2004-2014,39300,Providence-Warwick; RI-MA Metropolitan Statistical Area,Growth,89,-2.562925161
2004-2014,39340,Provo-Orem; UT Metropolitan Statistical Area,Growth,3,7.497496889
2004-2014,39580,Raleigh; NC Metropolitan Statistical Area,Growth,7,5.509953538
2004-2014,40060,Richmond; VA Metropolitan Statistical Area,Growth,47,-0.380657625
2004-2014,40140,Riverside-San Bernardino-Ontario; CA Metropolitan Statistical Area,Growth,44,-0.285356856
2004-2014,40380,Rochester; NY Metropolitan Statistical Area,Growth,85,-2.434518327
2004-2014,40900,Sacramento--Roseville--Arden-Arcade; CA Metropolitan Statistical Area,Growth,73,-1.789045402
2004-2014,41180,St. Louis; MO-IL Metropolitan Statistical Area,Growth,80,-2.175507766
2004-2014,41620,Salt Lake City; UT Metropolitan Statistical Area,Growth,10,4.476002093
2004-2014,41700,San Antonio-New Braunfels; TX Metropolitan Statistical Area,Growth,6,5.733989121
2004-2014,41740,San Diego-Carlsbad; CA Metropolitan Statistical Area,Growth,39,0.179436377
2004-2014,41860,San Francisco-Oakland-Hayward; CA Metropolitan Statistical Area,Growth,22,1.931441457
2004-2014,41940,San Jose-Sunnyvale-Santa Clara; CA Metropolitan Statistical Area,Growth,5,6.094190135
2004-2014,42540,Scranton--Wilkes-Barre--Hazleton; PA Metropolitan Statistical Area,Growth,79,-2.158834379
2004-2014,42660,Seattle-Tacoma-Bellevue; WA Metropolitan Statistical Area,Growth,11,4.01948426
2004-2014,44060,Spokane-Spokane Valley; WA Metropolitan Statistical Area,Growth,36,0.308713776
2004-2014,44140,Springfield; MA Metropolitan Statistical Area,Growth,65,-1.455531159
2004-2014,44700,Stockton-Lodi; CA Metropolitan Statistical Area,Growth,84,-2.413608832
2004-2014,45060,Syracuse; NY Metropolitan Statistical Area,Growth,83,-2.312054003
2004-2014,45300,Tampa-St. Petersburg-Clearwater; FL Metropolitan Statistical Area,Growth,62,-1.352669728
2004-2014,45780,Toledo; OH Metropolitan Statistical Area,Growth,96,-4.222792492
2004-2014,46060,Tucson; AZ Metropolitan Statistical Area,Growth,60,-1.22991925
2004-2014,46140,Tulsa; OK Metropolitan Statistical Area,Growth,23,1.831913075
2004-2014,46520,Urban Honolulu; HI Metropolitan Statistical Area,Growth,33,0.473751498
2004-2014,47260,Virginia Beach-Norfolk-Newport News; VA-NC Metropolitan Statistical Area,Growth,75,-1.946461812
2004-2014,47900,Washington-Arlington-Alexandria; DC-VA-MD-WV Metropolitan Statistical Area,Growth,31,0.551977483
2004-2014,48620,Wichita; KS Metropolitan Statistical Area,Growth,64,-1.442491402
2004-2014,49180,Winston-Salem; NC Metropolitan Statistical Area,Growth,86,-2.448842496
2004-2014,49340,Worcester; MA-CT Metropolitan Statistical Area,Growth,59,-1.200061131
2004-2014,49660,Youngstown-Warren-Boardman; OH-PA Metropolitan Statistical Area,Growth,100,-5.119350471
2009-2014,10420,Akron; OH Metropolitan Statistical Area,Growth,61,-1.096501753
2009-2014,10580,Albany-Schenectady-Troy; NY Metropolitan Statistical Area,Growth,67,-1.661205847
2009-2014,10740,Albuquerque; NM Metropolitan Statistical Area,Growth,99,-4.557061188
2009-2014,10900,Allentown-Bethlehem-Easton; PA-NJ Metropolitan Statistical Area,Growth,49,-0.354980073
2009-2014,12060,Atlanta-Sandy Springs-Roswell; GA Metropolitan Statistical Area,Growth,32,0.851238162
2009-2014,12260,Augusta-Richmond County; GA-SC Metropolitan Statistical Area,Growth,73,-2.075350374
2009-2014,12420,Austin-Round Rock; TX Metropolitan Statistical Area,Growth,2,8.766939
2009-2014,12540,Bakersfield; CA Metropolitan Statistical Area,Growth,19,2.622447612
2009-2014,12580,Baltimore-Columbia-Towson; MD Metropolitan Statistical Area,Growth,51,-0.71810495
2009-2014,12940,Baton Rouge; LA Metropolitan Statistical Area,Growth,46,-0.2349122
2009-2014,13820,Birmingham-Hoover; AL Metropolitan Statistical Area,Growth,74,-2.088544567
2009-2014,14260,Boise City; ID Metropolitan Statistical Area,Growth,26,1.480559757
2009-2014,14460,Boston-Cambridge-Newton; MA-NH Metropolitan Statistical Area,Growth,30,1.037307636
2009-2014,14860,Bridgeport-Stamford-Norwalk; CT Metropolitan Statistical Area,Growth,77,-2.239471183
2009-2014,15380,Buffalo-Cheektowaga-Niagara Falls; NY Metropolitan Statistical Area,Growth,66,-1.530423184
2009-2014,15980,Cape Coral-Fort Myers; FL Metropolitan Statistical Area,Growth,12,3.047734012
2009-2014,16700,Charleston-North Charleston; SC Metropolitan Statistical Area,Growth,11,3.2457272
2009-2014,16740,Charlotte-Concord-Gastonia; NC-SC Metropolitan Statistical Area,Growth,10,3.457146866
2009-2014,16860,Chattanooga; TN-GA Metropolitan Statistical Area,Growth,65,-1.372343212
2009-2014,16980,Chicago-Naperville-Elgin; IL-IN-WI Metropolitan Statistical Area,Growth,60,-1.061202388
2009-2014,17140,Cincinnati; OH-KY-IN Metropolitan Statistical Area,Growth,45,-0.10857238
2009-2014,17460,Cleveland-Elyria; OH Metropolitan Statistical Area,Growth,54,-0.811041355
2009-2014,17820,Colorado Springs; CO Metropolitan Statistical Area,Growth,58,-0.912619701
2009-2014,17900,Columbia; SC Metropolitan Statistical Area,Growth,52,-0.730268285
2009-2014,18140,Columbus; OH Metropolitan Statistical Area,Growth,20,2.46091704
2009-2014,19100,Dallas-Fort Worth-Arlington; TX Metropolitan Statistical Area,Growth,7,4.555349824
2009-2014,19380,Dayton; OH Metropolitan Statistical Area,Growth,79,-2.317573504
2009-2014,19660,Deltona-Daytona Beach-Ormond Beach; FL Metropolitan Statistical Area,Growth,87,-2.514069982
2009-2014,19740,Denver-Aurora-Lakewood; CO Metropolitan Statistical Area,Growth,14,2.915873307
2009-2014,19780,Des Moines-West Des Moines; IA Metropolitan Statistical Area,Growth,23,1.859582074
2009-2014,19820,Detroit-Warren-Dearborn; MI Metropolitan Statistical Area,Growth,22,2.222140415
2009-2014,21340,El Paso; TX Metropolitan Statistical Area,Growth,24,1.686141097
2009-2014,23420,Fresno; CA Metropolitan Statistical Area,Growth,69,-1.879422425
2009-2014,24340,Grand Rapids-Wyoming; MI Metropolitan Statistical Area,Growth,6,4.773898966
2009-2014,24660,Greensboro-High Point; NC Metropolitan Statistical Area,Growth,92,-2.806880263
2009-2014,24860,Greenville-Anderson-Mauldin; SC Metropolitan Statistical Area,Growth,27,1.421643525
2009-2014,25420,Harrisburg-Carlisle; PA Metropolitan Statistical Area,Growth,88,-2.519081362
2009-2014,25540,Hartford-West Hartford-East Hartford; CT Metropolitan Statistical Area,Growth,89,-2.532653058
2009-2014,26420,Houston-The Woodlands-Sugar Land; TX Metropolitan Statistical Area,Growth,3,6.742578803
2009-2014,26900,Indianapolis-Carmel-Anderson; IN Metropolitan Statistical Area,Growth,40,0.168012148
2009-2014,27140,Jackson; MS Metropolitan Statistical Area,Growth,81,-2.373264242
2009-2014,27260,Jacksonville; FL Metropolitan Statistical Area,Growth,53,-0.80891868
2009-2014,28140,Kansas City; MO-KS Metropolitan Statistical Area,Growth,62,-1.121087677
2009-2014,28940,Knoxville; TN Metropolitan Statistical Area,Growth,55,-0.83414427
2009-2014,29460,Lakeland-Winter Haven; FL Metropolitan Statistical Area,Growth,96,-3.689633108
2009-2014,29820,Las Vegas-Henderson-Paradise; NV Metropolitan Statistical Area,Growth,86,-2.49759636
2009-2014,30780,Little Rock-North Little Rock-Conway; AR Metropolitan Statistical Area,Growth,75,-2.092656268
2009-2014,31080,Los Angeles-Long Beach-Anaheim; CA Metropolitan Statistical Area,Growth,39,0.179684334
2009-2014,31140,Louisville/Jefferson County; KY-IN Metropolitan Statistical Area,Growth,33,0.818881837
2009-2014,31540,Madison; WI Metropolitan Statistical Area,Growth,28,1.299502661
2009-2014,32580,McAllen-Edinburg-Mission; TX Metropolitan Statistical Area,Growth,18,2.6606904
2009-2014,32820,Memphis; TN-MS-AR Metropolitan Statistical Area,Growth,93,-3.050233098
2009-2014,33100,Miami-Fort Lauderdale-West Palm Beach; FL Metropolitan Statistical Area,Growth,35,0.629429817
2009-2014,33340,Milwaukee-Waukesha-West Allis; WI Metropolitan Statistical Area,Growth,68,-1.731357854
2009-2014,33460,Minneapolis-St. Paul-Bloomington; MN-WI Metropolitan Statistical Area,Growth,29,1.171475763
2009-2014,34980,Nashville-Davidson--Murfreesboro--Franklin; TN Metropolitan Statistical Area,Growth,5,5.967979156
2009-2014,35300,New Haven-Milford; CT Metropolitan Statistical Area,Growth,83,-2.444060311
2009-2014,35380,New Orleans-Metairie; LA Metropolitan Statistical Area,Growth,78,-2.262195082
2009-2014,35620,New York-Newark-Jersey City; NY-NJ-PA Metropolitan Statistical Area,Growth,37,0.452814957
2009-2014,35840,North Port-Sarasota-Bradenton; FL Metropolitan Statistical Area,Growth,34,0.636967977
2009-2014,36260,Ogden-Clearfield; UT Metropolitan Statistical Area,Growth,38,0.326410037
2009-2014,36420,Oklahoma City; OK Metropolitan Statistical Area,Growth,17,2.727714758
2009-2014,36540,Omaha-Council Bluffs; NE-IA Metropolitan Statistical Area,Growth,44,-0.108477985
2009-2014,36740,Orlando-Kissimmee-Sanford; FL Metropolitan Statistical Area,Growth,25,1.485424071
2009-2014,37100,Oxnard-Thousand Oaks-Ventura; CA Metropolitan Statistical Area,Growth,57,-0.912105507
2009-2014,37340,Palm Bay-Melbourne-Titusville; FL Metropolitan Statistical Area,Growth,100,-5.192071318
2009-2014,37980,Philadelphia-Camden-Wilmington; PA-NJ-DE-MD Metropolitan Statistical Area,Growth,82,-2.389725175
2009-2014,38060,Phoenix-Mesa-Scottsdale; AZ Metropolitan Statistical Area,Growth,41,0.06240726
2009-2014,38300,Pittsburgh; PA Metropolitan Statistical Area,Growth,48,-0.305428877
2009-2014,38900,Portland-Vancouver-Hillsboro; OR-WA Metropolitan Statistical Area,Growth,15,2.803183265
2009-2014,39300,Providence-Warwick; RI-MA Metropolitan Statistical Area,Growth,63,-1.284187805
2009-2014,39340,Provo-Orem; UT Metropolitan Statistical Area,Growth,4,6.195031928
2009-2014,39580,Raleigh; NC Metropolitan Statistical Area,Growth,13,3.035734573
2009-2014,40060,Richmond; VA Metropolitan Statistical Area,Growth,59,-0.91890242
2009-2014,40140,Riverside-San Bernardino-Ontario; CA Metropolitan Statistical Area,Growth,36,0.551860835
2009-2014,40380,Rochester; NY Metropolitan Statistical Area,Growth,85,-2.466641353
2009-2014,40900,Sacramento--Roseville--Arden-Arcade; CA Metropolitan Statistical Area,Growth,70,-1.89895147
2009-2014,41180,St. Louis; MO-IL Metropolitan Statistical Area,Growth,90,-2.614456578
2009-2014,41620,Salt Lake City; UT Metropolitan Statistical Area,Growth,21,2.359773555
2009-2014,41700,San Antonio-New Braunfels; TX Metropolitan Statistical Area,Growth,8,4.52183806
2009-2014,41740,San Diego-Carlsbad; CA Metropolitan Statistical Area,Growth,31,0.904917812
2009-2014,41860,San Francisco-Oakland-Hayward; CA Metropolitan Statistical Area,Growth,9,3.893840135
2009-2014,41940,San Jose-Sunnyvale-Santa Clara; CA Metropolitan Statistical Area,Growth,1,9.856394469
2009-2014,42540,Scranton--Wilkes-Barre--Hazleton; PA Metropolitan Statistical Area,Growth,91,-2.745518795
2009-2014,42660,Seattle-Tacoma-Bellevue; WA Metropolitan Statistical Area,Growth,16,2.740616366
2009-2014,44060,Spokane-Spokane Valley; WA Metropolitan Statistical Area,Growth,76,-2.195667912
2009-2014,44140,Springfield; MA Metropolitan Statistical Area,Growth,64,-1.354863147
2009-2014,44700,Stockton-Lodi; CA Metropolitan Statistical Area,Growth,84,-2.453163336
2009-2014,45060,Syracuse; NY Metropolitan Statistical Area,Growth,95,-3.330421909
2009-2014,45300,Tampa-St. Petersburg-Clearwater; FL Metropolitan Statistical Area,Growth,42,-0.005983088
2009-2014,45780,Toledo; OH Metropolitan Statistical Area,Growth,50,-0.451190111
2009-2014,46060,Tucson; AZ Metropolitan Statistical Area,Growth,94,-3.301236376
2009-2014,46140,Tulsa; OK Metropolitan Statistical Area,Growth,47,-0.290463112
2009-2014,46520,Urban Honolulu; HI Metropolitan Statistical Area,Growth,56,-0.879788752
2009-2014,47260,Virginia Beach-Norfolk-Newport News; VA-NC Metropolitan Statistical Area,Growth,97,-3.873489486
2009-2014,47900,Washington-Arlington-Alexandria; DC-VA-MD-WV Metropolitan Statistical Area,Growth,71,-1.980600993
2009-2014,48620,Wichita; KS Metropolitan Statistical Area,Growth,98,-4.183827408
2009-2014,49180,Winston-Salem; NC Metropolitan Statistical Area,Growth,80,-2.353248418
2009-2014,49340,Worcester; MA-CT Metropolitan Statistical Area,Growth,43,-0.019743126
2009-2014,49660,Youngstown-Warren-Boardman; OH-PA Metropolitan Statistical Area,Growth,72,-2.060226829
2013-2014,10420,Akron; OH Metropolitan Statistical Area,Growth,53,-0.421348296
2013-2014,10580,Albany-Schenectady-Troy; NY Metropolitan Statistical Area,Growth,66,-1.238282617
2013-2014,10740,Albuquerque; NM Metropolitan Statistical Area,Growth,88,-3.236181203
2013-2014,10900,Allentown-Bethlehem-Easton; PA-NJ Metropolitan Statistical Area,Growth,51,-0.394084734
2013-2014,12060,Atlanta-Sandy Springs-Roswell; GA Metropolitan Statistical Area,Growth,19,2.800228456
2013-2014,12260,Augusta-Richmond County; GA-SC Metropolitan Statistical Area,Growth,65,-1.1926143
2013-2014,12420,Austin-Round Rock; TX Metropolitan Statistical Area,Growth,3,6.674705822
2013-2014,12540,Bakersfield; CA Metropolitan Statistical Area,Growth,70,-1.539811709
2013-2014,12580,Baltimore-Columbia-Towson; MD Metropolitan Statistical Area,Growth,82,-2.634051017
2013-2014,12940,Baton Rouge; LA Metropolitan Statistical Area,Growth,27,1.142895448
2013-2014,13820,Birmingham-Hoover; AL Metropolitan Statistical Area,Growth,89,-3.247678944
2013-2014,14260,Boise City; ID Metropolitan Statistical Area,Growth,21,2.607384836
2013-2014,14460,Boston-Cambridge-Newton; MA-NH Metropolitan Statistical Area,Growth,35,0.540477015
2013-2014,14860,Bridgeport-Stamford-Norwalk; CT Metropolitan Statistical Area,Growth,85,-2.791269353
2013-2014,15380,Buffalo-Cheektowaga-Niagara Falls; NY Metropolitan Statistical Area,Growth,67,-1.342310833
2013-2014,15980,Cape Coral-Fort Myers; FL Metropolitan Statistical Area,Growth,2,6.74397089
2013-2014,16700,Charleston-North Charleston; SC Metropolitan Statistical Area,Growth,26,1.229149099
2013-2014,16740,Charlotte-Concord-Gastonia; NC-SC Metropolitan Statistical Area,Growth,17,3.022831966
2013-2014,16860,Chattanooga; TN-GA Metropolitan Statistical Area,Growth,93,-3.462059011
2013-2014,16980,Chicago-Naperville-Elgin; IL-IN-WI Metropolitan Statistical Area,Growth,63,-1.142087731
2013-2014,17140,Cincinnati; OH-KY-IN Metropolitan Statistical Area,Growth,46,-0.277203684
2013-2014,17460,Cleveland-Elyria; OH Metropolitan Statistical Area,Growth,86,-2.848666806
2013-2014,17820,Colorado Springs; CO Metropolitan Statistical Area,Growth,56,-0.481957808
2013-2014,17900,Columbia; SC Metropolitan Statistical Area,Growth,31,0.747541108
2013-2014,18140,Columbus; OH Metropolitan Statistical Area,Growth,30,0.909088159
2013-2014,19100,Dallas-Fort Worth-Arlington; TX Metropolitan Statistical Area,Growth,6,4.712026415
2013-2014,19380,Dayton; OH Metropolitan Statistical Area,Growth,78,-2.133842778
2013-2014,19660,Deltona-Daytona Beach-Ormond Beach; FL Metropolitan Statistical Area,Growth,42,0.13534776
2013-2014,19740,Denver-Aurora-Lakewood; CO Metropolitan Statistical Area,Growth,5,5.178725513
2013-2014,19780,Des Moines-West Des Moines; IA Metropolitan Statistical Area,Growth,33,0.590712256
2013-2014,19820,Detroit-Warren-Dearborn; MI Metropolitan Statistical Area,Growth,55,-0.451721609
2013-2014,21340,El Paso; TX Metropolitan Statistical Area,Growth,59,-0.745772572
2013-2014,23420,Fresno; CA Metropolitan Statistical Area,Growth,40,0.332088232
2013-2014,24340,Grand Rapids-Wyoming; MI Metropolitan Statistical Area,Growth,16,3.184005254
2013-2014,24660,Greensboro-High Point; NC Metropolitan Statistical Area,Growth,95,-3.563025693
2013-2014,24860,Greenville-Anderson-Mauldin; SC Metropolitan Statistical Area,Growth,29,0.945794523
2013-2014,25420,Harrisburg-Carlisle; PA Metropolitan Statistical Area,Growth,69,-1.456755215
2013-2014,25540,Hartford-West Hartford-East Hartford; CT Metropolitan Statistical Area,Growth,80,-2.340525982
2013-2014,26420,Houston-The Woodlands-Sugar Land; TX Metropolitan Statistical Area,Growth,4,5.309280762
2013-2014,26900,Indianapolis-Carmel-Anderson; IN Metropolitan Statistical Area,Growth,76,-2.060922834
2013-2014,27140,Jackson; MS Metropolitan Statistical Area,Growth,92,-3.290132702
2013-2014,27260,Jacksonville; FL Metropolitan Statistical Area,Growth,34,0.567062632
2013-2014,28140,Kansas City; MO-KS Metropolitan Statistical Area,Growth,49,-0.370093495
2013-2014,28940,Knoxville; TN Metropolitan Statistical Area,Growth,64,-1.169685112
2013-2014,29460,Lakeland-Winter Haven; FL Metropolitan Statistical Area,Growth,84,-2.790638912
2013-2014,29820,Las Vegas-Henderson-Paradise; NV Metropolitan Statistical Area,Growth,23,1.946624797
2013-2014,30780,Little Rock-North Little Rock-Conway; AR Metropolitan Statistical Area,Growth,99,-4.765611995
2013-2014,31080,Los Angeles-Long Beach-Anaheim; CA Metropolitan Statistical Area,Growth,37,0.520286096
2013-2014,31140,Louisville/Jefferson County; KY-IN Metropolitan Statistical Area,Growth,36,0.535486018
2013-2014,31540,Madison; WI Metropolitan Statistical Area,Growth,47,-0.28319989
2013-2014,32580,McAllen-Edinburg-Mission; TX Metropolitan Statistical Area,Growth,22,2.452929803
2013-2014,32820,Memphis; TN-MS-AR Metropolitan Statistical Area,Growth,90,-3.250803371
2013-2014,33100,Miami-Fort Lauderdale-West Palm Beach; FL Metropolitan Statistical Area,Growth,20,2.66137463
2013-2014,33340,Milwaukee-Waukesha-West Allis; WI Metropolitan Statistical Area,Growth,81,-2.41182844
2013-2014,33460,Minneapolis-St. Paul-Bloomington; MN-WI Metropolitan Statistical Area,Growth,52,-0.394156497
2013-2014,34980,Nashville-Davidson--Murfreesboro--Franklin; TN Metropolitan Statistical Area,Growth,14,3.269135579
2013-2014,35300,New Haven-Milford; CT Metropolitan Statistical Area,Growth,87,-3.171467323
2013-2014,35380,New Orleans-Metairie; LA Metropolitan Statistical Area,Growth,75,-2.048481594
2013-2014,35620,New York-Newark-Jersey City; NY-NJ-PA Metropolitan Statistical Area,Growth,32,0.732790441
2013-2014,35840,North Port-Sarasota-Bradenton; FL Metropolitan Statistical Area,Growth,7,4.478226728
2013-2014,36260,Ogden-Clearfield; UT Metropolitan Statistical Area,Growth,24,1.887413182
2013-2014,36420,Oklahoma City; OK Metropolitan Statistical Area,Growth,54,-0.426409507
2013-2014,36540,Omaha-Council Bluffs; NE-IA Metropolitan Statistical Area,Growth,58,-0.629931183
2013-2014,36740,Orlando-Kissimmee-Sanford; FL Metropolitan Statistical Area,Growth,8,4.207115665
2013-2014,37100,Oxnard-Thousand Oaks-Ventura; CA Metropolitan Statistical Area,Growth,62,-0.864113264
2013-2014,37340,Palm Bay-Melbourne-Titusville; FL Metropolitan Statistical Area,Growth,79,-2.323595101
2013-2014,37980,Philadelphia-Camden-Wilmington; PA-NJ-DE-MD Metropolitan Statistical Area,Growth,77,-2.111973801
2013-2014,38060,Phoenix-Mesa-Scottsdale; AZ Metropolitan Statistical Area,Growth,43,-0.019781853
2013-2014,38300,Pittsburgh; PA Metropolitan Statistical Area,Growth,83,-2.669767439
2013-2014,38900,Portland-Vancouver-Hillsboro; OR-WA Metropolitan Statistical Area,Growth,13,3.527028899
2013-2014,39300,Providence-Warwick; RI-MA Metropolitan Statistical Area,Growth,61,-0.817787832
2013-2014,39340,Provo-Orem; UT Metropolitan Statistical Area,Growth,11,3.961350828
2013-2014,39580,Raleigh; NC Metropolitan Statistical Area,Growth,18,2.88703951
2013-2014,40060,Richmond; VA Metropolitan Statistical Area,Growth,71,-1.652519938
2013-2014,40140,Riverside-San Bernardino-Ontario; CA Metropolitan Statistical Area,Growth,10,4.024221644
2013-2014,40380,Rochester; NY Metropolitan Statistical Area,Growth,91,-3.266293895
2013-2014,40900,Sacramento--Roseville--Arden-Arcade; CA Metropolitan Statistical Area,Growth,41,0.244987682
2013-2014,41180,St. Louis; MO-IL Metropolitan Statistical Area,Growth,73,-1.908400978
2013-2014,41620,Salt Lake City; UT Metropolitan Statistical Area,Growth,28,0.951841917
2013-2014,41700,San Antonio-New Braunfels; TX Metropolitan Statistical Area,Growth,9,4.151827241
