year,CBSA,CBSA_name,indicator,value
2000,10180,Abilene; TX Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",100
2001,10180,Abilene; TX Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",100.6009006
2002,10180,Abilene; TX Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",103.9716002
2003,10180,Abilene; TX Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",104.8851
2004,10180,Abilene; TX Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",107.6946031
2005,10180,Abilene; TX Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",108.6545479
2006,10180,Abilene; TX Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",113.6140372
2007,10180,Abilene; TX Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",119.3141125
2008,10180,Abilene; TX Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",122.482441
2009,10180,Abilene; TX Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",119.6934708
2010,10180,Abilene; TX Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",118.2729317
2011,10180,Abilene; TX Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",119.7116682
2012,10180,Abilene; TX Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",124.0673946
2013,10180,Abilene; TX Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",126.5621032
2014,10180,Abilene; TX Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",132.9279005
2000,10420,Akron; OH Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",100
2001,10420,Akron; OH Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",99.05993829
2002,10420,Akron; OH Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",100.7730966
2003,10420,Akron; OH Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",102.7636105
2004,10420,Akron; OH Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",105.9068687
2005,10420,Akron; OH Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",106.9868338
2006,10420,Akron; OH Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",107.7061466
2007,10420,Akron; OH Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",109.4708513
2008,10420,Akron; OH Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",108.4878942
2009,10420,Akron; OH Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",102.2805417
2010,10420,Akron; OH Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",102.266478
2011,10420,Akron; OH Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",103.4360484
2012,10420,Akron; OH Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",105.8293951
2013,10420,Akron; OH Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",105.4996812
2014,10420,Akron; OH Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",108.6187417
2000,10500,Albany; GA Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",100
2001,10500,Albany; GA Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",100.2025152
2002,10500,Albany; GA Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",100.4509674
2003,10500,Albany; GA Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",102.0556257
2004,10500,Albany; GA Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",102.8208164
2005,10500,Albany; GA Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",104.1554144
2006,10500,Albany; GA Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",103.3365732
2007,10500,Albany; GA Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",104.0930757
2008,10500,Albany; GA Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",103.2086719
2009,10500,Albany; GA Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",101.9474113
2010,10500,Albany; GA Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",100.4454903
2011,10500,Albany; GA Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",98.93644376
2012,10500,Albany; GA Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",99.1507092
2013,10500,Albany; GA Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",98.15623579
2014,10500,Albany; GA Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",98.19145362
2000,10540,Albany; OR Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",100
2001,10540,Albany; OR Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",99.48902777
2002,10540,Albany; OR Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",99.29675679
2003,10540,Albany; OR Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",97.91730241
2004,10540,Albany; OR Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",99.6014306
2005,10540,Albany; OR Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",103.9969157
2006,10540,Albany; OR Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",108.9935793
2007,10540,Albany; OR Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",112.4284115
2008,10540,Albany; OR Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",111.6039175
2009,10540,Albany; OR Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",102.0780789
2010,10540,Albany; OR Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",100.2543035
2011,10540,Albany; OR Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",99.96260623
2012,10540,Albany; OR Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",101.4435115
2013,10540,Albany; OR Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",102.3633464
2014,10540,Albany; OR Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",106.5747413
2000,10580,Albany-Schenectady-Troy; NY Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",100
2001,10580,Albany-Schenectady-Troy; NY Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",103.37675
2002,10580,Albany-Schenectady-Troy; NY Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",103.2637201
2003,10580,Albany-Schenectady-Troy; NY Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",104.7743489
2004,10580,Albany-Schenectady-Troy; NY Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",105.6833376
2005,10580,Albany-Schenectady-Troy; NY Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",105.1026487
2006,10580,Albany-Schenectady-Troy; NY Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",107.3106375
2007,10580,Albany-Schenectady-Troy; NY Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",107.7942553
2008,10580,Albany-Schenectady-Troy; NY Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",109.7924537
2009,10580,Albany-Schenectady-Troy; NY Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",109.9094245
2010,10580,Albany-Schenectady-Troy; NY Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",108.9866551
2011,10580,Albany-Schenectady-Troy; NY Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",108.8572784
2012,10580,Albany-Schenectady-Troy; NY Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",110.1058326
2013,10580,Albany-Schenectady-Troy; NY Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",112.659002
2014,10580,Albany-Schenectady-Troy; NY Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",115.6715256
2000,10740,Albuquerque; NM Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",100
2001,10740,Albuquerque; NM Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",103.5013513
2002,10740,Albuquerque; NM Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",104.8899013
2003,10740,Albuquerque; NM Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",107.3601924
2004,10740,Albuquerque; NM Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",110.731353
2005,10740,Albuquerque; NM Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",113.886879
2006,10740,Albuquerque; NM Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",118.8966106
2007,10740,Albuquerque; NM Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",121.1584356
2008,10740,Albuquerque; NM Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",120.9408657
2009,10740,Albuquerque; NM Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",118.9006094
2010,10740,Albuquerque; NM Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",116.1374876
2011,10740,Albuquerque; NM Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",114.9534722
2012,10740,Albuquerque; NM Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",114.5456851
2013,10740,Albuquerque; NM Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",113.4586202
2014,10740,Albuquerque; NM Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",116.1526726
2000,10780,Alexandria; LA Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",100
2001,10780,Alexandria; LA Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",102.5065237
2002,10780,Alexandria; LA Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",106.0386937
2003,10780,Alexandria; LA Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",107.5869429
2004,10780,Alexandria; LA Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",112.3706922
2005,10780,Alexandria; LA Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",116.6737333
2006,10780,Alexandria; LA Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",125.0686429
2007,10780,Alexandria; LA Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",129.4897739
2008,10780,Alexandria; LA Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",131.7025686
2009,10780,Alexandria; LA Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",130.0326156
2010,10780,Alexandria; LA Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",126.3652486
2011,10780,Alexandria; LA Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",125.1455036
2012,10780,Alexandria; LA Metropolitan Statistical Area,"Aggregate Wages, indexed to 2000",124.8999662
