Year,CBSA,CBSA Name,Composite,Rank,Score
2000-2014,38060,"Phoenix-Mesa-Scottsdale, AZ",Inclusion,61,-0.836045146
2000-2014,38300,"Pittsburgh, PA",Inclusion,13,2.302414894
2000-2014,38900,"Portland-Vancouver-Hillsboro, OR-WA",Inclusion,64,-0.964006245
2000-2014,39300,"Providence-Warwick, RI-MA",Inclusion,28,1.20527339
2000-2014,39340,"Provo-Orem, UT",Inclusion,11,2.487277269
2000-2014,39580,"Raleigh, NC",Inclusion,83,-1.992730379
2000-2014,40060,"Richmond, VA",Inclusion,82,-1.857801318
2000-2014,40140,"Riverside-San Bernardino-Ontario, CA",Inclusion,58,-0.6754089
2000-2014,40380,"Rochester, NY",Inclusion,55,-0.575740337
2000-2014,40900,"Sacramento-Roseville-Arden-Arcade, CA",Inclusion,77,-1.479735374
2000-2014,41180,"St. Louis, MO-IL",Inclusion,62,-0.913668215
2000-2014,41620,"Salt Lake City, UT",Inclusion,15,2.196789265
2000-2014,41700,"San Antonio-New Braunfels, TX",Inclusion,23,1.590183496
2000-2014,41740,"San Diego-Carlsbad, CA",Inclusion,32,0.68536675
2000-2014,41860,"San Francisco-Oakland-Hayward, CA",Inclusion,33,0.64751631
2000-2014,41940,"San Jose-Sunnyvale-Santa Clara, CA",Inclusion,26,1.233959794
2000-2014,42540,"Scranton-Wilkes-Barre-Hazleton, PA",Inclusion,47,-0.010975599
2000-2014,42660,"Seattle-Tacoma-Bellevue, WA",Inclusion,22,1.613144875
2000-2014,44060,"Spokane-Spokane Valley, WA",Inclusion,41,0.229607344
2000-2014,44140,"Springfield, MA",Inclusion,14,2.200620651
2000-2014,44700,"Stockton-Lodi, CA",Inclusion,27,1.218570948
2000-2014,45060,"Syracuse, NY",Inclusion,42,0.224278539
2000-2014,45300,"Tampa-St. Petersburg-Clearwater, FL",Inclusion,38,0.387903988
2000-2014,45780,"Toledo, OH",Inclusion,70,-1.21672678
2000-2014,46060,"Tucson, AZ",Inclusion,67,-1.039943099
2000-2014,46140,"Tulsa, OK",Inclusion,2,5.614157677
2000-2014,46520,"Urban Honolulu, HI",Inclusion,5,4.697881699
2000-2014,47260,"Virginia Beach-Norfolk-Newport News, VA-NC",Inclusion,24,1.494494438
2000-2014,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Inclusion,35,0.573898077
2000-2014,48620,"Wichita, KS",Inclusion,73,-1.371228576
2000-2014,49180,"Winston-Salem, NC",Inclusion,100,-4.873267174
2000-2014,49340,"Worcester, MA-CT",Inclusion,57,-0.62672627
2000-2014,49660,"Youngstown-Warren-Boardman, OH-PA",Inclusion,74,-1.392200708
2009-2014,10420,"Akron, OH",Inclusion,64,-0.812168956
2009-2014,10580,"Albany-Schenectady-Troy, NY",Inclusion,33,0.789827228
2009-2014,10740,"Albuquerque, NM",Inclusion,100,-4.762796402
2009-2014,10900,"Allentown-Bethlehem-Easton, PA-NJ",Inclusion,70,-1.105301261
2009-2014,12060,"Atlanta-Sandy Springs-Roswell, GA",Inclusion,63,-0.768622518
2009-2014,12260,"Augusta-Richmond County, GA-SC",Inclusion,99,-4.430534363
2009-2014,12420,"Austin-Round Rock, TX",Inclusion,60,-0.736938
2009-2014,12540,"Bakersfield, CA",Inclusion,79,-1.491503835
2009-2014,12580,"Baltimore-Columbia-Towson, MD",Inclusion,55,-0.408602327
2009-2014,12940,"Baton Rouge, LA",Inclusion,13,2.194496155
2009-2014,13820,"Birmingham-Hoover, AL",Inclusion,96,-3.332130194
2009-2014,14260,"Boise City, ID",Inclusion,15,2.043860912
2009-2014,14460,"Boston-Cambridge-Newton, MA-NH",Inclusion,36,0.590114236
2009-2014,14860,"Bridgeport-Stamford-Norwalk, CT",Inclusion,32,0.793218434
2009-2014,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",Inclusion,29,0.853127778
2009-2014,15980,"Cape Coral-Fort Myers, FL",Inclusion,62,-0.754462123
2009-2014,16700,"Charleston-North Charleston, SC",Inclusion,6,3.419285536
2009-2014,16740,"Charlotte-Concord-Gastonia, NC-SC",Inclusion,59,-0.600556195
2009-2014,16860,"Chattanooga, TN-GA",Inclusion,81,-1.525284648
2009-2014,16980,"Chicago-Naperville-Elgin, IL-IN-WI",Inclusion,21,1.510079861
2009-2014,17140,"Cincinnati, OH-KY-IN",Inclusion,19,1.615382195
2009-2014,17460,"Cleveland-Elyria, OH",Inclusion,16,1.979245901
2009-2014,17820,"Colorado Springs, CO",Inclusion,93,-2.507523537
2009-2014,17900,"Columbia, SC",Inclusion,98,-3.511119127
2009-2014,18140,"Columbus, OH",Inclusion,41,0.363399506
2009-2014,19100,"Dallas-Fort Worth-Arlington, TX",Inclusion,44,0.148813725
2009-2014,19380,"Dayton, OH",Inclusion,14,2.185125589
2009-2014,19660,"Deltona-Daytona Beach-Ormond Beach, FL",Inclusion,46,0.141907692
2009-2014,19740,"Denver-Aurora-Lakewood, CO",Inclusion,7,3.297981262
2009-2014,19780,"Des Moines-West Des Moines, IA",Inclusion,92,-2.150794029
2009-2014,19820,"Detroit-Warren-Dearborn, MI",Inclusion,5,3.42610836
2009-2014,21340,"El Paso, TX",Inclusion,58,-0.556411147
2009-2014,23420,"Fresno, CA",Inclusion,77,-1.286721468
2009-2014,24340,"Grand Rapids-Wyoming, MI",Inclusion,4,3.51154089
2009-2014,24660,"Greensboro-High Point, NC",Inclusion,50,-0.215221226
2009-2014,24860,"Greenville-Anderson-Mauldin, SC",Inclusion,12,2.688264847
2009-2014,25420,"Harrisburg-Carlisle, PA",Inclusion,74,-1.257091522
2009-2014,25540,"Hartford-West Hartford-East Hartford, CT",Inclusion,27,0.985900044
2009-2014,26420,"Houston-The Woodlands-Sugar Land, TX",Inclusion,35,0.621080399
2009-2014,26900,"Indianapolis-Carmel-Anderson, IN",Inclusion,65,-0.839865685
2009-2014,27140,"Jackson, MS",Inclusion,8,3.232325554
2009-2014,27260,"Jacksonville, FL",Inclusion,95,-3.027437687
2009-2014,28140,"Kansas City, MO-KS",Inclusion,71,-1.105456114
2009-2014,28940,"Knoxville, TN",Inclusion,69,-1.042351723
2009-2014,29460,"Lakeland-Winter Haven, FL",Inclusion,54,-0.400115907
2009-2014,29820,"Las Vegas-Henderson-Paradise, NV",Inclusion,97,-3.366387129
2009-2014,30780,"Little Rock-North Little Rock-Conway, AR",Inclusion,88,-1.90974021
2009-2014,31080,"Los Angeles-Long Beach-Anaheim, CA",Inclusion,75,-1.268054843
2009-2014,31140,"Louisville/Jefferson County, KY-IN",Inclusion,45,0.14697355
2009-2014,31540,"Madison, WI",Inclusion,39,0.448841929
2009-2014,32580,"McAllen-Edinburg-Mission, TX",Inclusion,76,-1.269250393
2009-2014,32820,"Memphis, TN-MS-AR",Inclusion,42,0.292604685
