Year,CBSA,CBSA Name,Composite,Rank,Score
2000-2014,40060,"Richmond, VA",Race,80,-1.593012094
2000-2014,40140,"Riverside-San Bernardino-Ontario, CA",Race,21,1.821872711
2000-2014,40380,"Rochester, NY",Race,77,-1.383905053
2000-2014,40900,"Sacramento-Roseville-Arden-Arcade, CA",Race,27,1.369063854
2000-2014,41180,"St. Louis, MO-IL",Race,63,-0.236401916
2000-2014,41620,"Salt Lake City, UT",Race,16,2.14068532
2000-2014,41700,"San Antonio-New Braunfels, TX",Race,34,0.893023968
2000-2014,41740,"San Diego-Carlsbad, CA",Race,31,1.118084908
2000-2014,41860,"San Francisco-Oakland-Hayward, CA",Race,51,0.233765706
2000-2014,41940,"San Jose-Sunnyvale-Santa Clara, CA",Race,8,2.774302721
2000-2014,42540,"Scranton-Wilkes-Barre-Hazleton, PA",Race,26,1.488293767
2000-2014,42660,"Seattle-Tacoma-Bellevue, WA",Race,44,0.375301689
2000-2014,44060,"Spokane-Spokane Valley, WA",Race,100,-6.932497025
2000-2014,44140,"Springfield, MA",Race,83,-1.988545895
2000-2014,44700,"Stockton-Lodi, CA",Race,24,1.629403353
2000-2014,45060,"Syracuse, NY",Race,94,-4.227616787
2000-2014,45300,"Tampa-St. Petersburg-Clearwater, FL",Race,13,2.489139557
2000-2014,45780,"Toledo, OH",Race,75,-1.345046043
2000-2014,46060,"Tucson, AZ",Race,55,-0.015194673
2000-2014,46140,"Tulsa, OK",Race,29,1.330395222
2000-2014,46520,"Urban Honolulu, HI",Race,69,-0.580302238
2000-2014,47260,"Virginia Beach-Norfolk-Newport News, VA-NC",Race,39,0.668663442
2000-2014,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Race,81,-1.821379542
2000-2014,48620,"Wichita, KS",Race,32,1.099966645
2000-2014,49180,"Winston-Salem, NC",Race,48,0.289146125
2000-2014,49340,"Worcester, MA-CT",Race,76,-1.36503613
2000-2014,49660,"Youngstown-Warren-Boardman, OH-PA",Race,86,-2.485232592
2009-2014,10420,"Akron, OH",Race,94,-2.800570011
2009-2014,10580,"Albany-Schenectady-Troy, NY",Race,70,-0.281731904
2009-2014,10740,"Albuquerque, NM",Race,74,-0.567101479
2009-2014,10900,"Allentown-Bethlehem-Easton, PA-NJ",Race,96,-4.413903236
2009-2014,12060,"Atlanta-Sandy Springs-Roswell, GA",Race,13,1.68482554
2009-2014,12260,"Augusta-Richmond County, GA-SC",Race,99,-7.085878372
2009-2014,12420,"Austin-Round Rock, TX",Race,51,0.444951922
2009-2014,12540,"Bakersfield, CA",Race,3,2.191459656
2009-2014,12580,"Baltimore-Columbia-Towson, MD",Race,73,-0.392101705
2009-2014,12940,"Baton Rouge, LA",Race,45,0.562083244
2009-2014,13820,"Birmingham-Hoover, AL",Race,52,0.405962497
2009-2014,14260,"Boise City, ID",Race,6,1.853745103
2009-2014,14460,"Boston-Cambridge-Newton, MA-NH",Race,68,-0.19746992
2009-2014,14860,"Bridgeport-Stamford-Norwalk, CT",Race,48,0.49488008
2009-2014,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",Race,44,0.650158465
2009-2014,15980,"Cape Coral-Fort Myers, FL",Race,1,2.998262882
2009-2014,16700,"Charleston-North Charleston, SC",Race,80,-0.723351836
2009-2014,16740,"Charlotte-Concord-Gastonia, NC-SC",Race,29,1.002257109
2009-2014,16860,"Chattanooga, TN-GA",Race,4,2.148589373
2009-2014,16980,"Chicago-Naperville-Elgin, IL-IN-WI",Race,50,0.451481044
2009-2014,17140,"Cincinnati, OH-KY-IN",Race,81,-0.813960791
2009-2014,17460,"Cleveland-Elyria, OH",Race,82,-0.919059515
2009-2014,17820,"Colorado Springs, CO",Race,84,-1.148410559
2009-2014,17900,"Columbia, SC",Race,16,1.372501969
2009-2014,18140,"Columbus, OH",Race,86,-1.338405728
2009-2014,19100,"Dallas-Fort Worth-Arlington, TX",Race,58,0.149046779
2009-2014,19380,"Dayton, OH",Race,91,-2.031126022
2009-2014,19660,"Deltona-Daytona Beach-Ormond Beach, FL",Race,98,-5.50190258
2009-2014,19740,"Denver-Aurora-Lakewood, CO",Race,21,1.195504427
2009-2014,19780,"Des Moines-West Des Moines, IA",Race,39,0.732645869
2009-2014,19820,"Detroit-Warren-Dearborn, MI",Race,75,-0.589258373
2009-2014,21340,"El Paso, TX",Race,12,1.733675003
2009-2014,23420,"Fresno, CA",Race,65,0.005578324
2009-2014,24340,"Grand Rapids-Wyoming, MI",Race,42,0.705324888
2009-2014,24660,"Greensboro-High Point, NC",Race,92,-2.124168396
2009-2014,24860,"Greenville-Anderson-Mauldin, SC",Race,14,1.658369064
2009-2014,25420,"Harrisburg-Carlisle, PA",Race,93,-2.759007454
2009-2014,25540,"Hartford-West Hartford-East Hartford, CT",Race,34,0.902793229
2009-2014,26420,"Houston-The Woodlands-Sugar Land, TX",Race,17,1.345048547
2009-2014,26900,"Indianapolis-Carmel-Anderson, IN",Race,11,1.744756103
2009-2014,27140,"Jackson, MS",Race,7,1.838566422
2009-2014,27260,"Jacksonville, FL",Race,18,1.284525514
2009-2014,28140,"Kansas City, MO-KS",Race,27,1.025048494
2009-2014,28940,"Knoxville, TN",Race,89,-1.903789163
2009-2014,29460,"Lakeland-Winter Haven, FL",Race,100,-8.471615791
2009-2014,29820,"Las Vegas-Henderson-Paradise, NV",Race,2,2.224056482
2009-2014,30780,"Little Rock-North Little Rock-Conway, AR",Race,43,0.690685749
2009-2014,31080,"Los Angeles-Long Beach-Anaheim, CA",Race,56,0.248698547
2009-2014,31140,"Louisville/Jefferson County, KY-IN",Race,28,1.013662696
2009-2014,31540,"Madison, WI",Race,95,-3.312504768
2009-2014,32580,"McAllen-Edinburg-Mission, TX",Race,9,1.802507281
