year,CBSA,CBSA_name,rank,score
2004-2014,36260,Ogden-Clearfield; UT Metropolitan Statistical Area,24,1.7902279292
2004-2014,36420,Oklahoma City; OK Metropolitan Statistical Area,17,3.2738658144
2004-2014,36540,Omaha-Council Bluffs; NE-IA Metropolitan Statistical Area,28,0.7557229609
2004-2014,36740,Orlando-Kissimmee-Sanford; FL Metropolitan Statistical Area,25,1.5801291034
2004-2014,37100,Oxnard-Thousand Oaks-Ventura; CA Metropolitan Statistical Area,58,-1.172652447
2004-2014,37340,Palm Bay-Melbourne-Titusville; FL Metropolitan Statistical Area,95,-3.691719329
2004-2014,37980,Philadelphia-Camden-Wilmington; PA-NJ-DE-MD Metropolitan Statistical Area,69,-1.681629836
2004-2014,38060,Phoenix-Mesa-Scottsdale; AZ Metropolitan Statistical Area,29,0.6885601773
2004-2014,38300,Pittsburgh; PA Metropolitan Statistical Area,49,-0.553258815
2004-2014,38900,Portland-Vancouver-Hillsboro; OR-WA Metropolitan Statistical Area,12,3.891564431
2004-2014,39300,Providence-Warwick; RI-MA Metropolitan Statistical Area,89,-2.562925161
2004-2014,39340,Provo-Orem; UT Metropolitan Statistical Area,3,7.4974968894
2004-2014,39580,Raleigh; NC Metropolitan Statistical Area,7,5.5099535383
2004-2014,40060,Richmond; VA Metropolitan Statistical Area,47,-0.380657625
2004-2014,40140,Riverside-San Bernardino-Ontario; CA Metropolitan Statistical Area,44,-0.285356856
2004-2014,40380,Rochester; NY Metropolitan Statistical Area,85,-2.434518327
2004-2014,40900,Sacramento--Roseville--Arden-Arcade; CA Metropolitan Statistical Area,73,-1.789045402
2004-2014,41180,St. Louis; MO-IL Metropolitan Statistical Area,80,-2.175507766
2004-2014,41620,Salt Lake City; UT Metropolitan Statistical Area,10,4.4760020928
2004-2014,41700,San Antonio-New Braunfels; TX Metropolitan Statistical Area,6,5.7339891212
2004-2014,41740,San Diego-Carlsbad; CA Metropolitan Statistical Area,39,0.1794363766
2004-2014,41860,San Francisco-Oakland-Hayward; CA Metropolitan Statistical Area,22,1.9314414567
2004-2014,41940,San Jose-Sunnyvale-Santa Clara; CA Metropolitan Statistical Area,5,6.0941901354
2004-2014,42540,Scranton--Wilkes-Barre--Hazleton; PA Metropolitan Statistical Area,79,-2.158834379
2004-2014,42660,Seattle-Tacoma-Bellevue; WA Metropolitan Statistical Area,11,4.01948426
2004-2014,44060,Spokane-Spokane Valley; WA Metropolitan Statistical Area,36,0.3087137763
2004-2014,44140,Springfield; MA Metropolitan Statistical Area,65,-1.455531159
2004-2014,44700,Stockton-Lodi; CA Metropolitan Statistical Area,84,-2.413608832
2004-2014,45060,Syracuse; NY Metropolitan Statistical Area,83,-2.312054003
2004-2014,45300,Tampa-St. Petersburg-Clearwater; FL Metropolitan Statistical Area,62,-1.352669728
2004-2014,45780,Toledo; OH Metropolitan Statistical Area,96,-4.222792492
2004-2014,46060,Tucson; AZ Metropolitan Statistical Area,60,-1.22991925
2004-2014,46140,Tulsa; OK Metropolitan Statistical Area,23,1.8319130748
2004-2014,46520,Urban Honolulu; HI Metropolitan Statistical Area,33,0.473751498
2004-2014,47260,Virginia Beach-Norfolk-Newport News; VA-NC Metropolitan Statistical Area,75,-1.946461812
2004-2014,47900,Washington-Arlington-Alexandria; DC-VA-MD-WV Metropolitan Statistical Area,31,0.5519774828
2004-2014,48620,Wichita; KS Metropolitan Statistical Area,64,-1.442491402
2004-2014,49180,Winston-Salem; NC Metropolitan Statistical Area,86,-2.448842496
2004-2014,49340,Worcester; MA-CT Metropolitan Statistical Area,59,-1.200061131
2004-2014,49660,Youngstown-Warren-Boardman; OH-PA Metropolitan Statistical Area,100,-5.119350471
2009-2014,10420,Akron; OH Metropolitan Statistical Area,61,-1.096501753
2009-2014,10580,Albany-Schenectady-Troy; NY Metropolitan Statistical Area,67,-1.661205847
2009-2014,10740,Albuquerque; NM Metropolitan Statistical Area,99,-4.557061188
2009-2014,10900,Allentown-Bethlehem-Easton; PA-NJ Metropolitan Statistical Area,49,-0.354980073
2009-2014,12060,Atlanta-Sandy Springs-Roswell; GA Metropolitan Statistical Area,32,0.8512381617
2009-2014,12260,Augusta-Richmond County; GA-SC Metropolitan Statistical Area,73,-2.075350374
2009-2014,12420,Austin-Round Rock; TX Metropolitan Statistical Area,2,8.7669389995
2009-2014,12540,Bakersfield; CA Metropolitan Statistical Area,19,2.6224476121
2009-2014,12580,Baltimore-Columbia-Towson; MD Metropolitan Statistical Area,51,-0.71810495
2009-2014,12940,Baton Rouge; LA Metropolitan Statistical Area,46,-0.2349122
2009-2014,13820,Birmingham-Hoover; AL Metropolitan Statistical Area,74,-2.088544567
2009-2014,14260,Boise City; ID Metropolitan Statistical Area,26,1.4805597568
2009-2014,14460,Boston-Cambridge-Newton; MA-NH Metropolitan Statistical Area,30,1.0373076358
2009-2014,14860,Bridgeport-Stamford-Norwalk; CT Metropolitan Statistical Area,77,-2.239471183
2009-2014,15380,Buffalo-Cheektowaga-Niagara Falls; NY Metropolitan Statistical Area,66,-1.530423184
2009-2014,15980,Cape Coral-Fort Myers; FL Metropolitan Statistical Area,12,3.0477340122
2009-2014,16700,Charleston-North Charleston; SC Metropolitan Statistical Area,11,3.2457272004
2009-2014,16740,Charlotte-Concord-Gastonia; NC-SC Metropolitan Statistical Area,10,3.4571468661
2009-2014,16860,Chattanooga; TN-GA Metropolitan Statistical Area,65,-1.372343212
2009-2014,16980,Chicago-Naperville-Elgin; IL-IN-WI Metropolitan Statistical Area,60,-1.061202388
2009-2014,17140,Cincinnati; OH-KY-IN Metropolitan Statistical Area,45,-0.10857238
2009-2014,17460,Cleveland-Elyria; OH Metropolitan Statistical Area,54,-0.811041355
2009-2014,17820,Colorado Springs; CO Metropolitan Statistical Area,58,-0.912619701
2009-2014,17900,Columbia; SC Metropolitan Statistical Area,52,-0.730268285
2009-2014,18140,Columbus; OH Metropolitan Statistical Area,20,2.4609170397
