"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"89104","Albany-Schenectady, NY (Combined Statistical Area)","","CA4","50","...","Wages and salaries",2552961,2810171,3074211,3280531,3534247,3768089,3875076,4136648,4436704,4884289,5336169,5770985,6243200,6674742,7115274,7875354,8505865,9178028,9960291,10866629,11571086,12252802,12489496,13007348,13517108,14012348,14177541,14558207,15191184,16146619,16968162,18241546,19124912,19417264,20109890,20854067,21354019,22356753,23031511,24136638,24094716,24363661,24929696,25699798,26548213
"89104","Albany-Schenectady, NY (Combined Statistical Area)","","CA4","60","...","Supplements to wages and salaries",381721,430969,504158,573328,619605,680165,763489,815893,921099,1046268,1185954,1282602,1429882,1567881,1722429,1907243,2091655,2275955,2425631,2640795,2929805,3121579,3328293,3722562,3885467,4043799,4035058,4062831,4189364,4452991,4710746,5145497,5510431,5657699,6142800,6570147,6865040,7061197,7381913,7811352,8128464,8432383,8503758,8698800,8914947
"89104","Albany-Schenectady, NY (Combined Statistical Area)","","CA4","61","...","  Employer contributions for employee pension and insurance funds 8/",246027,285818,338899,385089,386144,424442,502025,518872,597555,675191,768341,847934,935681,1043200,1151830,1246449,1383803,1504312,1607295,1725336,1976963,2148000,2314211,2652393,2771951,2878278,2861068,2869744,2956055,3158172,3382126,3696338,3968794,4063623,4478231,4833949,5077542,5210568,5490374,5826177,6179255,6442366,6458774,6595059,6752514
"89104","Albany-Schenectady, NY (Combined Statistical Area)","","CA4","62","...","  Employer contributions for government social insurance",135694,145151,165259,188239,233461,255723,261464,297021,323544,371077,417613,434668,494201,524681,570599,660794,707852,771643,818336,915459,952842,973579,1014082,1070169,1113516,1165521,1173990,1193087,1233309,1294819,1328620,1449159,1541637,1594076,1664569,1736198,1787498,1850629,1891539,1985175,1949209,1990017,2044984,2103741,2162433
"89104","Albany-Schenectady, NY (Combined Statistical Area)","","CA4","70","...","Proprietors' income 9/",290196,292848,303490,314614,325068,322415,331824,397996,434224,501270,549636,578409,570730,555574,609429,767149,812939,938867,975400,1113245,1241708,1251625,1232401,1421471,1399663,1382841,1553965,1735381,2101455,1802564,2094086,2247523,2260989,2306223,2344412,2502336,2567883,2748427,2648829,2545695,2945307,3021736,3237521,3373698,3571364
"89104","Albany-Schenectady, NY (Combined Statistical Area)","","CA4","71","...","  Farm proprietors' income",34327,32954,31371,29070,33006,25089,17819,24311,9313,20299,33691,32610,29654,23030,13581,20291,28554,39135,45097,31435,42902,37643,21820,34110,35528,20430,12286,43472,-10216,35797,49780,44286,63621,8311,28521,48442,53781,23798,27481,22980,-2566,22270,64433,22092,40363
"89104","Albany-Schenectady, NY (Combined Statistical Area)","","CA4","72","...","  Nonfarm proprietors' income",255869,259894,272119,285544,292062,297326,314005,373685,424911,480971,515945,545799,541076,532544,595848,746858,784385,899732,930303,1081810,1198806,1213982,1210581,1387361,1364135,1362411,1541679,1691909,2111671,1766767,2044306,2203237,2197368,2297912,2315891,2453894,2514102,2724629,2621348,2522715,2947873,2999466,3173088,3351606,3531001
"89104","Albany-Schenectady, NY (Combined Statistical Area)","","CA4","7010","...","Total employment",436088,442286,453137,456800,466940,467407,460030,465540,477985,491938,500069,499181,497759,498759,504385,524122,540424,560305,568943,587604,598484,608340,602484,606682,616292,628551,622945,619288,625714,639662,653513,667438,661598,660773,667476,676392,684202,688006,694330,701632,689583,681581,685857,692124,698409
"89104","Albany-Schenectady, NY (Combined Statistical Area)","","CA4","7020","...","  Wage and salary employment",383227,388672,396656,400041,408601,409738,401522,403936,414527,427967,436568,435930,434530,433432,438146,455608,466203,480277,494018,508241,517937,522994,516548,515435,523937,531068,530559,524019,528569,537138,548971,558275,560284,557759,559450,564521,566974,568963,569906,574243,560562,553023,554245,561610,565172
"89104","Albany-Schenectady, NY (Combined Statistical Area)","","CA4","7040","...","  Proprietors employment",52861,53614,56481,56759,58339,57669,58508,61604,63458,63971,63501,63251,63229,65327,66239,68514,74221,80028,74925,79363,80547,85346,85936,91247,92355,97483,92386,95269,97145,102524,104542,109163,101314,103014,108026,111871,117228,119043,124424,127389,129021,128558,131612,130514,133237
"89106","Albuquerque-Santa Fe-Las Vegas, NM (Combined Statistical Area)","","CA4","10","...","Personal income (thousands of dollars)",1591195,1801075,2021910,2309364,2570910,2886279,3260683,3691433,4132489,4780176,5422949,6079350,6810360,7448417,8119236,9024736,9899066,10567045,11211074,11875215,12686337,13661104,14621909,15758730,17037776,18450742,19956821,20991528,22109948,23409414,24220828,26528206,28656598,29668940,30544628,32167794,34459315,36914277,38673796,40148619,39650566,40209274,42063128,43352355,43312882
"89106","Albuquerque-Santa Fe-Las Vegas, NM (Combined Statistical Area)","","CA4","11","...","  Nonfarm personal income 1/",1578381,1786574,2009308,2295286,2552414,2868852,3244043,3677454,4116738,4752391,5389656,6045463,6782596,7420481,8101929,8997556,9870873,10543255,11187723,11840536,12644600,13621464,14579403,15726306,16999745,18422253,19942624,20969711,22076719,23376374,24173657,26478204,28593494,29635138,30494068,32093371,34394518,36871549,38612538,40083366,39600938,40134230,41935157,43215513,43169419
"89106","Albuquerque-Santa Fe-Las Vegas, NM (Combined Statistical Area)","","CA4","12","...","  Farm income 2/",12814,14501,12602,14078,18496,17427,16640,13979,15751,27785,33293,33887,27764,27936,17307,27180,28193,23790,23351,34679,41737,39640,42506,32424,38031,28489,14197,21817,33229,33040,47171,50002,63104,33802,50560,74423,64797,42728,61258,65253,49628,75044,127971,136842,143463
"89106","Albuquerque-Santa Fe-Las Vegas, NM (Combined Statistical Area)","","CA4","20","...","Population (persons) 3/",493400,499808,518746,531820,553926,569988,584146,601738,621530,634881,654055,671208,681781,690557,703024,716480,730113,747921,767128,779510,792280,804398,821246,842862,865943,891794,917044,933386,946999,957537,965613,977078,987745,1006347,1022635,1041100,1062591,1085270,1104917,1119512,1133851,1149164,1157619,1161541,1163966
"89106","Albuquerque-Santa Fe-Las Vegas, NM (Combined Statistical Area)","","CA4","30","...","Per capita personal income (dollars) 4/",3225,3604,3898,4342,4641,5064,5582,6135,6649,7529,8291,9057,9989,10786,11549,12596,13558,14129,14614,15234,16012,16983,17805,18697,19675,20689,21762,22490,23347,24448,25083,27151,29012,29482,29869,30898,32430,34014,35002,35863,34970,34990,36336,37323,37211
"89106","Albuquerque-Santa Fe-Las Vegas, NM (Combined Statistical Area)","","CA4","35","...","Earnings by place of work",1277336,1416116,1583940,1824349,2034886,2242153,2487076,2827983,3193420,3705511,4191501,4590508,5052085,5408172,5974288,6669373,7309652,7800655,8316791,8863546,9428827,10153590,10904549,11823875,12855600,13946247,14964088,15498941,16350723,17436718,18234743,20173115,21823629,22891775,23587072,24687549,25978087,27488500,28318775,28996393,28331107,28455923,29047536,29570501,29663266
"89106","Albuquerque-Santa Fe-Las Vegas, NM (Combined Statistical Area)","","CA4","36","...","Less: Contributions for government social insurance 5/",78078,85882,100981,121405,156212,176879,194402,224051,256060,305694,363132,400256,472101,514682,576786,660885,738782,798714,843489,941367,1012905,1155769,1254522,1349901,1466652,1627182,1750848,1814003,1902849,2012935,2101222,2241566,2387747,2501152,2619439,2740390,2889397,3132364,3266919,3381758,3361172,3387494,3086525,3132783,3583939
"89106","Albuquerque-Santa Fe-Las Vegas, NM (Combined Statistical Area)","","CA4","37","...","  Employee and self-employed contributions for government social insurance",38524,42207,49257,58038,75342,85794,94089,105508,120551,142946,170424,190073,226293,248492,275262,308913,356739,389061,415663,471415,515732,586567,640723,685115,748322,829198,897534,928961,973120,1031997,1086504,1155706,1243536,1297370,1357589,1434457,1516916,1647333,1728196,1771835,1765820,1765312,1415072,1434695,1862960
"89106","Albuquerque-Santa Fe-Las Vegas, NM (Combined Statistical Area)","","CA4","38","...","  Employer contributions for government social insurance",39554,43675,51724,63367,80870,91085,100313,118543,135509,162748,192708,210183,245808,266190,301524,351972,382043,409653,427826,469952,497173,569202,613799,664786,718330,797984,853314,885042,929729,980938,1014718,1085860,1144211,1203782,1261850,1305933,1372481,1485031,1538723,1609923,1595352,1622182,1671453,1698088,1720979
"89106","Albuquerque-Santa Fe-Las Vegas, NM (Combined Statistical Area)","","CA4","42","...","Plus: Adjustment for residence 6/",13166,13275,14812,16390,19311,27893,42491,58902,76751,97438,118837,114643,104437,89208,58946,55256,48570,41221,35783,34740,37267,34454,33289,29888,25387,17726,12084,10362,6035,2514,-41,-7737,-5474,-5333,-7733,-4747,-9805,-12479,-11272,-7850,-1936,7589,14174,20768,24069
