"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013"
"09000","Connecticut state total","1","CA4","60","...","Supplements to wages and salaries",1089437,1166973,1250301,1452341,1647671,1839905,2057781,2263823,2633451,3023138,3503717,3961222,4499574,4954931,5438391,6065439,6668649,7341603,8039591,8820493,9561092,9914437,10240671,10960054,11518304,11675104,12004032,12302192,12917404,13641451,14473825,15621706,16750261,17204224,18422471,20209891,21031495,20980629,22040676,22848820,22504448,23047822,23623637,23598527,23263850
"09000","Connecticut state total","1","CA4","61","...","  Employer contributions for employee pension and insurance funds 8/",698731,762866,818073,944117,999334,1111928,1321889,1424849,1672244,1896017,2194225,2542193,2847105,3171491,3475611,3755452,4199702,4671282,5157246,5593352,6227481,6530340,6783413,7373606,7789032,7781577,7943787,8061435,8447434,8969212,9628374,10460354,11444510,11558223,12655008,14160375,14850773,14707225,15498243,16093976,15882097,16374205,16635226,16379626,15922570
"09000","Connecticut state total","1","CA4","62","...","  Employer contributions for government social insurance",390706,404107,432228,508224,648337,727977,735892,838974,961207,1127121,1309492,1419029,1652469,1783440,1962780,2309987,2468947,2670321,2882345,3227141,3333611,3384097,3457258,3586448,3729272,3893527,4060245,4240757,4469970,4672239,4845451,5161352,5305751,5646001,5767463,6049516,6180722,6273404,6542433,6754844,6622351,6673617,6988411,7218901,7341280
"09000","Connecticut state total","1","CA4","70","...","Proprietors' income 9/",1091987,1082241,1156019,1211505,1296234,1292822,1359892,1634653,1890337,2116780,2252843,2258754,2304192,2152386,2365572,2928540,3101064,3197115,3814790,4555890,4963393,4969960,5240438,6303484,7127565,7744411,8082929,8233994,9302527,9933008,11184241,12865552,14711442,15728534,15345287,15987721,16263129,17811722,16442125,15922433,17637386,18359189,19013034,20477222,21679561
"09000","Connecticut state total","1","CA4","71","...","  Farm proprietors' income",33299,37536,34174,28716,36467,35315,23485,28194,19294,32766,27913,30864,31768,56146,53034,74138,69313,83133,82123,88184,67843,99746,80657,106003,117264,92493,66889,48666,38755,57923,79447,92918,59405,13243,31872,46409,68052,37418,54573,41091,25574,27611,48090,-1259,-3487
"09000","Connecticut state total","1","CA4","72","...","  Nonfarm proprietors' income",1058688,1044705,1121845,1182789,1259767,1257507,1336407,1606459,1871043,2084014,2224930,2227890,2272424,2096240,2312538,2854402,3031751,3113982,3732667,4467706,4895550,4870214,5159781,6197481,7010301,7651918,8016040,8185328,9263772,9875085,11104794,12772634,14652037,15715291,15313415,15941312,16195077,17774304,16387552,15881342,17611812,18331578,18964944,20478481,21683048
"09000","Connecticut state total","1","CA4","7010","...","Total employment",1417073,1414365,1388432,1416201,1480137,1511144,1467829,1492880,1546330,1615435,1673099,1705461,1726723,1725903,1743012,1823137,1879427,1937316,1984300,2039047,2032338,2003473,1923121,1903803,1924516,1906480,1943744,1974521,2000349,2033712,2065991,2109954,2113713,2107077,2102746,2130254,2159357,2192075,2238029,2250088,2192544,2161537,2196071,2211689,2233415
"09000","Connecticut state total","1","CA4","7020","...","  Wage and salary employment",1278214,1270474,1240264,1264236,1318287,1346539,1300973,1321709,1366956,1429430,1482440,1508221,1520182,1510203,1525518,1597331,1639328,1681793,1725667,1753269,1748068,1707332,1629346,1591788,1599350,1609837,1627959,1648631,1680101,1709380,1732908,1756884,1753318,1740251,1718928,1725032,1734386,1751451,1767373,1769889,1699245,1673114,1688186,1706622,1718531
"09000","Connecticut state total","1","CA4","7040","...","  Proprietors employment",138859,143891,148168,151965,161850,164605,166856,171171,179374,186005,190659,197240,206541,215700,217494,225806,240099,255523,258633,285778,284270,296141,293775,312015,325166,296643,315785,325890,320248,324332,333083,353070,360395,366826,383818,405222,424971,440624,470656,480199,493299,488423,507885,505067,514884
"09001","Fairfield, CT ","1","CA4","10","...","Personal income (thousands of dollars)",4599145,4866731,5106426,5489362,5883600,6354695,6818311,7449165,8292013,9318064,10532837,12120701,13776907,14889902,15789496,17776734,19150995,20538062,22429215,25110895,27286971,27937067,28062201,31492746,32420656,33095768,35865331,38349234,41204500,45327132,47836113,52378488,54282246,52778242,52738557,57590133,61363661,67430103,70597935,69949617,64220790,68033314,73021077,76325785,77080227
