Year,CBSA,CBSA Name,Composite,Rank,Score
2000-2014,10420,"Akron, OH",Race,95,-4.384757042
2000-2014,10580,"Albany-Schenectady-Troy, NY",Race,81,-1.133712292
2000-2014,10740,"Albuquerque, NM",Race,3,2.955863953
2000-2014,10900,"Allentown-Bethlehem-Easton, PA-NJ",Race,94,-3.612676382
2000-2014,12060,"Atlanta-Sandy Springs-Roswell, GA",Race,13,2.159714937
2000-2014,12260,"Augusta-Richmond County, GA-SC",Race,65,-0.448851109
2000-2014,12420,"Austin-Round Rock, TX",Race,54,-0.042037562
2000-2014,12540,"Bakersfield, CA",Race,34,1.159200191
2000-2014,12580,"Baltimore-Columbia-Towson, MD",Race,82,-1.347212911
2000-2014,12940,"Baton Rouge, LA",Race,71,-0.776223898
2000-2014,13820,"Birmingham-Hoover, AL",Race,87,-1.622259378
2000-2014,14260,"Boise City, ID",Race,72,-0.781086862
2000-2014,14460,"Boston-Cambridge-Newton, MA-NH",Race,33,1.423099756
2000-2014,14860,"Bridgeport-Stamford-Norwalk, CT",Race,24,1.855384469
2000-2014,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",Race,79,-1.109839559
2000-2014,15980,"Cape Coral-Fort Myers, FL",Race,50,0.104030013
2000-2014,16700,"Charleston-North Charleston, SC",Race,16,2.065401793
2000-2014,16740,"Charlotte-Concord-Gastonia, NC-SC",Race,67,-0.502849698
2000-2014,16860,"Chattanooga, TN-GA",Race,89,-2.414144993
2000-2014,16980,"Chicago-Naperville-Elgin, IL-IN-WI",Race,41,0.607962489
2000-2014,17140,"Cincinnati, OH-KY-IN",Race,86,-1.526112318
2000-2014,17460,"Cleveland-Elyria, OH",Race,93,-3.529084682
2000-2014,17820,"Colorado Springs, CO",Race,75,-0.890724659
2000-2014,17900,"Columbia, SC",Race,60,-0.34731704
2000-2014,18140,"Columbus, OH",Race,83,-1.391074419
2000-2014,19100,"Dallas-Fort Worth-Arlington, TX",Race,27,1.72744751
2000-2014,19380,"Dayton, OH",Race,91,-2.634673357
2000-2014,19660,"Deltona-Daytona Beach-Ormond Beach, FL",Race,68,-0.507663906
2000-2014,19740,"Denver-Aurora-Lakewood, CO",Race,19,2.003585815
2000-2014,19780,"Des Moines-West Des Moines, IA",Race,92,-3.480063438
2000-2014,19820,"Detroit-Warren-Dearborn, MI",Race,42,0.530094683
2000-2014,21340,"El Paso, TX",Race,80,-1.132112265
2000-2014,23420,"Fresno, CA",Race,29,1.618114233
2000-2014,24340,"Grand Rapids-Wyoming, MI",Race,98,-4.918701172
2000-2014,24660,"Greensboro-High Point, NC",Race,46,0.29174307
2000-2014,24860,"Greenville-Anderson-Mauldin, SC",Race,49,0.144422531
2000-2014,25420,"Harrisburg-Carlisle, PA",Race,43,0.453263164
2000-2014,25540,"Hartford-West Hartford-East Hartford, CT",Race,61,-0.349695981
2000-2014,26420,"Houston-The Woodlands-Sugar Land, TX",Race,20,1.973386765
2000-2014,26900,"Indianapolis-Carmel-Anderson, IN",Race,25,1.853535295
2000-2014,27140,"Jackson, MS",Race,55,-0.097057566
2000-2014,27260,"Jacksonville, FL",Race,97,-4.624787331
2000-2014,28140,"Kansas City, MO-KS",Race,26,1.853243589
2000-2014,28940,"Knoxville, TN",Race,99,-6.74557209
2000-2014,29460,"Lakeland-Winter Haven, FL",Race,85,-1.440656185
2000-2014,29820,"Las Vegas-Henderson-Paradise, NV",Race,15,2.069437742
2000-2014,30780,"Little Rock-North Little Rock-Conway, AR",Race,90,-2.480921507
2000-2014,31080,"Los Angeles-Long Beach-Anaheim, CA",Race,10,2.388024807
2000-2014,31140,"Louisville/Jefferson County, KY-IN",Race,78,-1.08104527
2000-2014,31540,"Madison, WI",Race,69,-0.566987693
2000-2014,32580,"McAllen-Edinburg-Mission, TX",Race,96,-4.521672249
2000-2014,32820,"Memphis, TN-MS-AR",Race,52,0.014281183
2000-2014,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",Race,8,2.448965549
2000-2014,33340,"Milwaukee-Waukesha-West Allis, WI",Race,59,-0.321307093
2000-2014,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Race,32,1.47554183
2000-2014,34980,"Nashville-Davidson-Murfreesboro-Franklin, TN",Race,76,-0.890754342
2000-2014,35300,"New Haven-Milford, CT",Race,73,-0.794061303
2000-2014,35380,"New Orleans-Metairie, LA",Race,58,-0.240638822
2000-2014,35620,"New York-Newark-Jersey City, NY-NJ-PA",Race,5,2.712505817
2000-2014,35840,"North Port-Sarasota-Bradenton, FL",Race,38,0.791522384
2000-2014,36260,"Ogden-Clearfield, UT",Race,37,0.831957936
2000-2014,36420,"Oklahoma City, OK",Race,39,0.770651937
2000-2014,36540,"Omaha-Council Bluffs, NE-IA",Race,70,-0.578191519
2000-2014,36740,"Orlando-Kissimmee-Sanford, FL",Race,4,2.943902493
2000-2014,37100,"Oxnard-Thousand Oaks-Ventura, CA",Race,66,-0.45363152
2000-2014,37340,"Palm Bay-Melbourne-Titusville, FL",Race,56,-0.102894008
2000-2014,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Race,18,2.03704071
2000-2014,38060,"Phoenix-Mesa-Scottsdale, AZ",Race,21,1.9534688
2000-2014,38300,"Pittsburgh, PA",Race,88,-1.861719131
2000-2014,38900,"Portland-Vancouver-Hillsboro, OR-WA",Race,48,0.200006068
2000-2014,39300,"Providence-Warwick, RI-MA",Race,11,2.347482204
2000-2014,39340,"Provo-Orem, UT",Race,9,2.425187588
2000-2014,39580,"Raleigh, NC",Race,28,1.672362089
2000-2014,40060,"Richmond, VA",Race,77,-0.920077443
2000-2014,40140,"Riverside-San Bernardino-Ontario, CA",Race,47,0.287496895
2000-2014,40380,"Rochester, NY",Race,6,2.613382101
2000-2014,40900,"Sacramento-Roseville-Arden-Arcade, CA",Race,44,0.438527405
2000-2014,41180,"St. Louis, MO-IL",Race,40,0.67402941
2000-2014,41620,"Salt Lake City, UT",Race,62,-0.404325902
2000-2014,41700,"San Antonio-New Braunfels, TX",Race,12,2.241049051
2000-2014,41740,"San Diego-Carlsbad, CA",Race,23,1.877693772
2000-2014,41860,"San Francisco-Oakland-Hayward, CA",Race,57,-0.215430796
2000-2014,41940,"San Jose-Sunnyvale-Santa Clara, CA",Race,2,2.967059851
2000-2014,42540,"Scranton-Wilkes-Barre-Hazleton, PA",Race,1,4.458518982
2000-2014,42660,"Seattle-Tacoma-Bellevue, WA",Race,51,0.103533246
2000-2014,44060,"Spokane-Spokane Valley, WA",Race,100,-11.13015556
2000-2014,44140,"Springfield, MA",Race,36,0.970862925
2000-2014,44700,"Stockton-Lodi, CA",Race,35,1.019390464
2000-2014,45060,"Syracuse, NY",Race,53,-0.026347652
2000-2014,45300,"Tampa-St. Petersburg-Clearwater, FL",Race,45,0.338302791
2000-2014,45780,"Toledo, OH",Race,84,-1.435008407
2000-2014,46060,"Tucson, AZ",Race,74,-0.841676712
2000-2014,46140,"Tulsa, OK",Race,63,-0.420029581
2000-2014,46520,"Urban Honolulu, HI",Race,31,1.491568327
2000-2014,47260,"Virginia Beach-Norfolk-Newport News, VA-NC",Race,7,2.540857553
2000-2014,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Race,30,1.582098722
2000-2014,48620,"Wichita, KS",Race,64,-0.438315868
2000-2014,49180,"Winston-Salem, NC",Race,14,2.076880217
2000-2014,49340,"Worcester, MA-CT",Race,22,1.923571467
2000-2014,49660,"Youngstown-Warren-Boardman, OH-PA",Race,17,2.04948616
2009-2014,10420,"Akron, OH",Race,29,0.997024417
2009-2014,10580,"Albany-Schenectady-Troy, NY",Race,74,-0.534509718
2009-2014,10740,"Albuquerque, NM",Race,5,2.501344919
2009-2014,10900,"Allentown-Bethlehem-Easton, PA-NJ",Race,82,-1.024006128
2009-2014,12060,"Atlanta-Sandy Springs-Roswell, GA",Race,16,1.759292841
2009-2014,12260,"Augusta-Richmond County, GA-SC",Race,7,2.497563839
2009-2014,12420,"Austin-Round Rock, TX",Race,42,0.600652039
2009-2014,12540,"Bakersfield, CA",Race,48,0.447799385
2009-2014,12580,"Baltimore-Columbia-Towson, MD",Race,73,-0.517645597
2009-2014,12940,"Baton Rouge, LA",Race,43,0.560229659
2009-2014,13820,"Birmingham-Hoover, AL",Race,70,-0.377236247
2009-2014,14260,"Boise City, ID",Race,6,2.500355721
2009-2014,14460,"Boston-Cambridge-Newton, MA-NH",Race,38,0.669362247
2009-2014,14860,"Bridgeport-Stamford-Norwalk, CT",Race,67,-0.271544427
2009-2014,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",Race,44,0.559695005
2009-2014,15980,"Cape Coral-Fort Myers, FL",Race,23,1.298291206
2009-2014,16700,"Charleston-North Charleston, SC",Race,21,1.576338053
2009-2014,16740,"Charlotte-Concord-Gastonia, NC-SC",Race,33,0.828958869
2009-2014,16860,"Chattanooga, TN-GA",Race,88,-2.45938158
2009-2014,16980,"Chicago-Naperville-Elgin, IL-IN-WI",Race,51,0.369974375
2009-2014,17140,"Cincinnati, OH-KY-IN",Race,97,-4.687635422
2009-2014,17460,"Cleveland-Elyria, OH",Race,64,-0.255217344
2009-2014,17820,"Colorado Springs, CO",Race,100,-7.00828886
2009-2014,17900,"Columbia, SC",Race,41,0.617087483
2009-2014,18140,"Columbus, OH",Race,49,0.431709945
2009-2014,19100,"Dallas-Fort Worth-Arlington, TX",Race,72,-0.435609758
2009-2014,19380,"Dayton, OH",Race,94,-3.853509903
2009-2014,19660,"Deltona-Daytona Beach-Ormond Beach, FL",Race,79,-0.860206664
2009-2014,19740,"Denver-Aurora-Lakewood, CO",Race,12,1.990517259
2009-2014,19780,"Des Moines-West Des Moines, IA",Race,62,-0.194164366
2009-2014,19820,"Detroit-Warren-Dearborn, MI",Race,55,0.233683005
2009-2014,21340,"El Paso, TX",Race,85,-1.367645025
2009-2014,23420,"Fresno, CA",Race,58,0.061873436
2009-2014,24340,"Grand Rapids-Wyoming, MI",Race,95,-4.410221577
2009-2014,24660,"Greensboro-High Point, NC",Race,8,2.496930599
2009-2014,24860,"Greenville-Anderson-Mauldin, SC",Race,4,2.52980876
2009-2014,25420,"Harrisburg-Carlisle, PA",Race,76,-0.63380909
2009-2014,25540,"Hartford-West Hartford-East Hartford, CT",Race,60,-0.164669335
2009-2014,26420,"Houston-The Woodlands-Sugar Land, TX",Race,71,-0.394883275
2009-2014,26900,"Indianapolis-Carmel-Anderson, IN",Race,25,1.21944797
2009-2014,27140,"Jackson, MS",Race,57,0.135463119
2009-2014,27260,"Jacksonville, FL",Race,86,-1.652406096
2009-2014,28140,"Kansas City, MO-KS",Race,30,0.99371165
2009-2014,28940,"Knoxville, TN",Race,90,-3.020472288
2009-2014,29460,"Lakeland-Winter Haven, FL",Race,99,-5.66356945
2009-2014,29820,"Las Vegas-Henderson-Paradise, NV",Race,53,0.341409206
2009-2014,30780,"Little Rock-North Little Rock-Conway, AR",Race,59,-0.09045589
2009-2014,31080,"Los Angeles-Long Beach-Anaheim, CA",Race,66,-0.259371489
2009-2014,31140,"Louisville/Jefferson County, KY-IN",Race,11,2.131863832
2009-2014,31540,"Madison, WI",Race,15,1.828098774
2009-2014,32580,"McAllen-Edinburg-Mission, TX",Race,91,-3.098703384
2009-2014,32820,"Memphis, TN-MS-AR",Race,69,-0.343945533
2009-2014,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",Race,92,-3.182849884
2009-2014,33340,"Milwaukee-Waukesha-West Allis, WI",Race,61,-0.192011356
2009-2014,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Race,32,0.985578835
2009-2014,34980,"Nashville-Davidson-Murfreesboro-Franklin, TN",Race,87,-1.8182621
2009-2014,35300,"New Haven-Milford, CT",Race,78,-0.805258691
2009-2014,35380,"New Orleans-Metairie, LA",Race,52,0.359599978
2009-2014,35620,"New York-Newark-Jersey City, NY-NJ-PA",Race,50,0.370052397
2009-2014,35840,"North Port-Sarasota-Bradenton, FL",Race,20,1.654967785
2009-2014,36260,"Ogden-Clearfield, UT",Race,19,1.666033864
2009-2014,36420,"Oklahoma City, OK",Race,34,0.797787488
2009-2014,36540,"Omaha-Council Bluffs, NE-IA",Race,89,-2.562375307
2009-2014,36740,"Orlando-Kissimmee-Sanford, FL",Race,18,1.671536207
2009-2014,37100,"Oxnard-Thousand Oaks-Ventura, CA",Race,96,-4.685860634
2009-2014,37340,"Palm Bay-Melbourne-Titusville, FL",Race,10,2.236397266
2009-2014,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Race,37,0.694137156
2009-2014,38060,"Phoenix-Mesa-Scottsdale, AZ",Race,17,1.73090291
2009-2014,38300,"Pittsburgh, PA",Race,45,0.553834438
2009-2014,38900,"Portland-Vancouver-Hillsboro, OR-WA",Race,83,-1.025235415
2009-2014,39300,"Providence-Warwick, RI-MA",Race,35,0.786501527
2009-2014,39340,"Provo-Orem, UT",Race,3,2.722250462
2009-2014,39580,"Raleigh, NC",Race,28,1.022113085
2009-2014,40060,"Richmond, VA",Race,81,-1.013428807
2009-2014,40140,"Riverside-San Bernardino-Ontario, CA",Race,27,1.057401538
2009-2014,40380,"Rochester, NY",Race,13,1.919300914
2009-2014,40900,"Sacramento-Roseville-Arden-Arcade, CA",Race,80,-1.005991578
2009-2014,41180,"St. Louis, MO-IL",Race,77,-0.68888694
2009-2014,41620,"Salt Lake City, UT",Race,24,1.294150829
2009-2014,41700,"San Antonio-New Braunfels, TX",Race,47,0.452018797
2009-2014,41740,"San Diego-Carlsbad, CA",Race,39,0.662486196
2009-2014,41860,"San Francisco-Oakland-Hayward, CA",Race,84,-1.072100878
2009-2014,41940,"San Jose-Sunnyvale-Santa Clara, CA",Race,14,1.872171402
2009-2014,42540,"Scranton-Wilkes-Barre-Hazleton, PA",Race,1,4.078266144
2009-2014,42660,"Seattle-Tacoma-Bellevue, WA",Race,63,-0.200828165
2009-2014,44060,"Spokane-Spokane Valley, WA",Race,98,-5.662458897
2009-2014,44140,"Springfield, MA",Race,26,1.11890173
2009-2014,44700,"Stockton-Lodi, CA",Race,68,-0.319614828
2009-2014,45060,"Syracuse, NY",Race,40,0.643494785
2009-2014,45300,"Tampa-St. Petersburg-Clearwater, FL",Race,65,-0.255729198
2009-2014,45780,"Toledo, OH",Race,46,0.500500441
2009-2014,46060,"Tucson, AZ",Race,2,3.313851833
2009-2014,46140,"Tulsa, OK",Race,36,0.737302959
2009-2014,46520,"Urban Honolulu, HI",Race,31,0.986416817
2009-2014,47260,"Virginia Beach-Norfolk-Newport News, VA-NC",Race,56,0.153302014
2009-2014,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Race,75,-0.626039863
2009-2014,48620,"Wichita, KS",Race,93,-3.382116795
2009-2014,49180,"Winston-Salem, NC",Race,22,1.355781555
2009-2014,49340,"Worcester, MA-CT",Race,54,0.26588285
2009-2014,49660,"Youngstown-Warren-Boardman, OH-PA",Race,9,2.236746788
2013-2014,10420,"Akron, OH",Race,61,-0.040370464
2013-2014,10580,"Albany-Schenectady-Troy, NY",Race,63,-0.114825368
2013-2014,10740,"Albuquerque, NM",Race,12,2.314674616
2013-2014,10900,"Allentown-Bethlehem-Easton, PA-NJ",Race,83,-1.528572679
2013-2014,12060,"Atlanta-Sandy Springs-Roswell, GA",Race,68,-0.370244235
2013-2014,12260,"Augusta-Richmond County, GA-SC",Race,1,4.035256386
2013-2014,12420,"Austin-Round Rock, TX",Race,20,1.76629281
2013-2014,12540,"Bakersfield, CA",Race,58,0.04969421
2013-2014,12580,"Baltimore-Columbia-Towson, MD",Race,71,-0.634365678
