Year,CBSA,CBSA Name,Composite,Rank,Score
2013-2014,12940,"Baton Rouge, LA",Race,57,0.068976104
2013-2014,13820,"Birmingham-Hoover, AL",Race,92,-3.314888
2013-2014,14260,"Boise City, ID",Race,24,1.628796339
2013-2014,14460,"Boston-Cambridge-Newton, MA-NH",Race,73,-0.687914431
2013-2014,14860,"Bridgeport-Stamford-Norwalk, CT",Race,39,0.711035013
2013-2014,15380,"Buffalo-Cheektowaga-Niagara Falls, NY",Race,78,-0.954994142
2013-2014,15980,"Cape Coral-Fort Myers, FL",Race,4,3.007153034
2013-2014,16700,"Charleston-North Charleston, SC",Race,29,1.169232965
2013-2014,16740,"Charlotte-Concord-Gastonia, NC-SC",Race,35,0.892272711
2013-2014,16860,"Chattanooga, TN-GA",Race,25,1.424303532
2013-2014,16980,"Chicago-Naperville-Elgin, IL-IN-WI",Race,40,0.692631066
2013-2014,17140,"Cincinnati, OH-KY-IN",Race,82,-1.280769467
2013-2014,17460,"Cleveland-Elyria, OH",Race,90,-2.929275036
2013-2014,17820,"Colorado Springs, CO",Race,97,-4.988898277
2013-2014,17900,"Columbia, SC",Race,26,1.394230843
2013-2014,18140,"Columbus, OH",Race,44,0.469345927
2013-2014,19100,"Dallas-Fort Worth-Arlington, TX",Race,69,-0.461419344
2013-2014,19380,"Dayton, OH",Race,98,-6.046658993
2013-2014,19660,"Deltona-Daytona Beach-Ormond Beach, FL",Race,9,2.481950998
2013-2014,19740,"Denver-Aurora-Lakewood, CO",Race,60,-0.029396653
2013-2014,19780,"Des Moines-West Des Moines, IA",Race,66,-0.331427336
2013-2014,19820,"Detroit-Warren-Dearborn, MI",Race,31,1.074265957
2013-2014,21340,"El Paso, TX",Race,96,-4.655215263
2013-2014,23420,"Fresno, CA",Race,81,-1.269546628
2013-2014,24340,"Grand Rapids-Wyoming, MI",Race,89,-2.897303581
2013-2014,24660,"Greensboro-High Point, NC",Race,32,1.068047881
2013-2014,24860,"Greenville-Anderson-Mauldin, SC",Race,85,-1.673017383
2013-2014,25420,"Harrisburg-Carlisle, PA",Race,53,0.190928906
2013-2014,25540,"Hartford-West Hartford-East Hartford, CT",Race,28,1.308184147
2013-2014,26420,"Houston-The Woodlands-Sugar Land, TX",Race,46,0.417997479
2013-2014,26900,"Indianapolis-Carmel-Anderson, IN",Race,15,2.075654745
2013-2014,27140,"Jackson, MS",Race,65,-0.232845366
2013-2014,27260,"Jacksonville, FL",Race,86,-1.705265284
2013-2014,28140,"Kansas City, MO-KS",Race,21,1.703543425
2013-2014,28940,"Knoxville, TN",Race,100,-7.90199852
2013-2014,29460,"Lakeland-Winter Haven, FL",Race,91,-3.194290161
2013-2014,29820,"Las Vegas-Henderson-Paradise, NV",Race,17,1.896239638
2013-2014,30780,"Little Rock-North Little Rock-Conway, AR",Race,22,1.674647808
2013-2014,31080,"Los Angeles-Long Beach-Anaheim, CA",Race,47,0.384149432
2013-2014,31140,"Louisville/Jefferson County, KY-IN",Race,72,-0.663634181
2013-2014,31540,"Madison, WI",Race,70,-0.549156547
2013-2014,32580,"McAllen-Edinburg-Mission, TX",Race,84,-1.611924529
2013-2014,32820,"Memphis, TN-MS-AR",Race,67,-0.344579637
2013-2014,33100,"Miami-Fort Lauderdale-West Palm Beach, FL",Race,38,0.73960948
2013-2014,33340,"Milwaukee-Waukesha-West Allis, WI",Race,16,1.992209196
2013-2014,33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Race,33,1.06311512
2013-2014,34980,"Nashville-Davidson-Murfreesboro-Franklin, TN",Race,87,-2.503954172
2013-2014,35300,"New Haven-Milford, CT",Race,88,-2.787989616
2013-2014,35380,"New Orleans-Metairie, LA",Race,76,-0.837283611
2013-2014,35620,"New York-Newark-Jersey City, NY-NJ-PA",Race,30,1.105265856
2013-2014,35840,"North Port-Sarasota-Bradenton, FL",Race,19,1.783721209
2013-2014,36260,"Ogden-Clearfield, UT",Race,77,-0.929886997
2013-2014,36420,"Oklahoma City, OK",Race,79,-0.99570775
2013-2014,36540,"Omaha-Council Bluffs, NE-IA",Race,37,0.830758929
2013-2014,36740,"Orlando-Kissimmee-Sanford, FL",Race,8,2.486665726
2013-2014,37100,"Oxnard-Thousand Oaks-Ventura, CA",Race,94,-3.447411776
2013-2014,37340,"Palm Bay-Melbourne-Titusville, FL",Race,10,2.416144609
2013-2014,37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Race,45,0.458347857
2013-2014,38060,"Phoenix-Mesa-Scottsdale, AZ",Race,54,0.184149265
2013-2014,38300,"Pittsburgh, PA",Race,95,-3.659423828
2013-2014,38900,"Portland-Vancouver-Hillsboro, OR-WA",Race,41,0.610305309
2013-2014,39300,"Providence-Warwick, RI-MA",Race,5,2.962189436
2013-2014,39340,"Provo-Orem, UT",Race,42,0.576156735
2013-2014,39580,"Raleigh, NC",Race,52,0.21333313
2013-2014,40060,"Richmond, VA",Race,27,1.338226318
2013-2014,40140,"Riverside-San Bernardino-Ontario, CA",Race,56,0.095080495
2013-2014,40380,"Rochester, NY",Race,7,2.558363914
2013-2014,40900,"Sacramento-Roseville-Arden-Arcade, CA",Race,74,-0.704000831
2013-2014,41180,"St. Louis, MO-IL",Race,59,-0.003101587
2013-2014,41620,"Salt Lake City, UT",Race,49,0.343393922
2013-2014,41700,"San Antonio-New Braunfels, TX",Race,23,1.637462616
2013-2014,41740,"San Diego-Carlsbad, CA",Race,51,0.284429491
2013-2014,41860,"San Francisco-Oakland-Hayward, CA",Race,36,0.842006266
2013-2014,41940,"San Jose-Sunnyvale-Santa Clara, CA",Race,6,2.87422204
2013-2014,42540,"Scranton-Wilkes-Barre-Hazleton, PA",Race,2,3.648917675
2013-2014,42660,"Seattle-Tacoma-Bellevue, WA",Race,62,-0.111067444
2013-2014,44060,"Spokane-Spokane Valley, WA",Race,93,-3.338535547
2013-2014,44140,"Springfield, MA",Race,75,-0.77955395
2013-2014,44700,"Stockton-Lodi, CA",Race,80,-1.079367161
2013-2014,45060,"Syracuse, NY",Race,13,2.31006074
2013-2014,45300,"Tampa-St. Petersburg-Clearwater, FL",Race,48,0.36135605
2013-2014,45780,"Toledo, OH",Race,14,2.308609962
2013-2014,46060,"Tucson, AZ",Race,43,0.524327278
2013-2014,46140,"Tulsa, OK",Race,50,0.298489094
2013-2014,46520,"Urban Honolulu, HI",Race,64,-0.126129061
2013-2014,47260,"Virginia Beach-Norfolk-Newport News, VA-NC",Race,18,1.816488624
2013-2014,47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Race,34,0.910382032
2013-2014,48620,"Wichita, KS",Race,99,-7.406458855
2013-2014,49180,"Winston-Salem, NC",Race,55,0.112631693
2013-2014,49340,"Worcester, MA-CT",Race,3,3.143895626
2013-2014,49660,"Youngstown-Warren-Boardman, OH-PA",Race,11,2.392846584
